Model,Nested_CV_R_Squared_Mean,Nested_CV_R_Squared_Std,Train_R_Squared,Test_R_Squared,Time_Taken
Ridge,0.14411502603644083,0.16334975985009464,0.8605966866090896,0.6540894399459491,5.100574016571045
ElasticNet,0.05611336201782487,0.15445338057448682,0.7531931987025271,0.6361262561303687,0.8582262992858887
StackingEnsemble,,,0.9091149961485828,0.6177780325924334,
VotingEnsemble,,,0.9427252303280967,0.565509291791543,
SVR,0.16762281341661162,0.13499025500316214,0.8771709439991409,0.5513649217774967,0.334949254989624
KNeighborsRegressor,-0.16401453125853702,0.10274207383588671,1.0,0.5339225888038759,0.535304069519043
AdaBoostRegressor,-0.04618401605847437,0.251495373204708,0.9776328927502534,0.32895788759211575,3.550036907196045
LinearRegression,-23.14787103188059,9.986022886200814,0.9585858150027913,0.3042403048754059,0.027270078659057617
RandomForestRegressor,0.0848826749584333,0.19832353024818203,0.8692513227730323,0.2948908612122293,45.75108504295349
GradientBoostingRegressor,-0.09223544623101669,0.20298070892849035,0.9999999329526649,0.233970160193685,14.07571792602539
Lasso,-0.03396629006943208,0.16230852164724405,0.09917712710898641,0.15163801295340107,0.22603297233581543
