Model,Time Taken
LinearRegression,0.012173891067504883
Ridge,0.0074269771575927734
Lasso,0.00843191146850586
ElasticNet,0.006570100784301758
DecisionTree,0.009515762329101562
RandomForest,0.16695284843444824
GradientBoosting,0.12093210220336914
KNeighbors,0.33632373809814453
SVR,0.01475214958190918
