Metric,RF_Development,RF_Holdout,Ensemble_Development,Ensemble_Holdout
R-squared,0.8691581041324672,0.24475932818802726,0.8325806392478399,0.4775264443598517
RMSE,0.1207625086332399,0.2835721853988856,0.13660341346181398,0.23585935267201796
MAE,0.10406058764905055,0.21837693374693123,0.12251685112290743,0.22082720982950413
CV R-squared (mean),0.02701001170347228,,,
CV R-squared (std),0.17214677312512358,,,
