molecule_chembl_id,canonical_smiles,standard_value,target_id,target_name,bioactivity_class,standard_value_norm,pIC50,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL398606,CC(C)NCc1ccc(Nc2cc(-c3ccc(-c4ccc(O)cc4O)cc3)[nH]n2)cc1,1720.0,CHEMBL4523,PAK4 kinase,inactive,1720.0,5.764471553092451,414.50900000000007,5.396500000000005,5.0,5.0
CHEMBL91829,CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1,20000.0,CHEMBL4523,PAK4 kinase,active,20000.0,4.698970004336019,468.55700000000024,3.513700000000002,1.0,6.0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,28.0,CHEMBL4523,PAK4 kinase,active,28.0,7.552841968657781,466.5410000000003,4.354000000000003,2.0,6.0
CHEMBL82242,C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,25000.0,CHEMBL4523,PAK4 kinase,active,25000.0,4.6020599913279625,448.38000000000017,0.4886999999999995,7.0,11.0
CHEMBL258248,NCCc1ccc(OC(=O)c2cc(O)c(O)c(O)c2)cc1.O=C(O)C(F)(F)F,161000.0,CHEMBL4523,PAK4 kinase,inactive,161000.0,3.7931741239681513,403.309,2.1571000000000002,5.0,7.0
CHEMBL498406,Cc1cccc(/C=C2\SC(=O)NC2=O)c1,100.0,CHEMBL4523,PAK4 kinase,inactive,100.0,7.0,219.265,2.3189200000000003,1.0,3.0
CHEMBL447567,O=C1NC(=O)/C(=C/c2ccc(C(F)(F)F)cc2)S1,80.0,CHEMBL4523,PAK4 kinase,active,80.0,7.096910013008056,273.23499999999996,3.029300000000001,1.0,3.0
CHEMBL183906,O=C1NC(=O)/C(=C/c2cccc(C(F)(F)F)c2)S1,100.0,CHEMBL4523,PAK4 kinase,inactive,100.0,7.0,273.23499999999996,3.029300000000001,1.0,3.0
CHEMBL497606,O=C1S/C(=C\c2cccc(C(F)(F)F)c2)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,100000.0,CHEMBL4523,PAK4 kinase,active,100000.0,4.0,447.3560000000001,5.840500000000002,0.0,4.0
CHEMBL497607,COCOc1c(/C=C2\SC(=O)NC2=O)cccc1C(F)(F)F,1500.0,CHEMBL4523,PAK4 kinase,active,1500.0,5.823908740944319,333.287,3.0120000000000013,1.0,5.0
