molecule_chembl_id,canonical_smiles,standard_value,target_id,target_name,bioactivity_class,standard_value_norm,pIC50,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL467863,Cc1nc(N(CCC(=O)O)CCC(=O)O)sc1C(C)(C)C,60000.0,CHEMBL5619,PIM1 kinase,inactive,60000.0,4.221848749616356,314.4070000000001,2.5048200000000005,2.0,5.0
CHEMBL468072,O=C(O)CNS(=O)(=O)c1ccc2c(c1)C(=O)c1cc(S(=O)(=O)NCC(=O)O)ccc1-2,50000.0,CHEMBL5619,PIM1 kinase,inactive,50000.0,4.301029995663981,454.43800000000016,-0.37619999999999987,4.0,7.0
CHEMBL503504,Cc1oc(C(=O)O)cc1CSCc1cc(C(=O)O)oc1C,40000.0,CHEMBL5619,PIM1 kinase,inactive,40000.0,4.3979400086720375,310.327,3.3192400000000015,2.0,5.0
CHEMBL446487,O=C(O)CCC(=O)NC(Cc1ccccc1)C(=O)O,40000.0,CHEMBL5619,PIM1 kinase,inactive,40000.0,4.3979400086720375,265.265,0.6632999999999996,3.0,3.0
CHEMBL462689,COc1ccc(S(=O)(=O)N2CCC(C(=O)O)CC2)cc1C(=O)O,30000.0,CHEMBL5619,PIM1 kinase,inactive,30000.0,4.522878745280337,343.35700000000014,0.8787,2.0,5.0
CHEMBL442876,O=C(O)CCn1c(=O)oc2cc(S(=O)(=O)O)ccc21,80000.0,CHEMBL5619,PIM1 kinase,inactive,80000.0,4.096910013008056,287.249,0.31590000000000024,2.0,6.0
CHEMBL461633,O=C(O)CC(CC(=O)Nc1nnn[nH]1)c1ccccc1,30000.0,CHEMBL5619,PIM1 kinase,inactive,30000.0,4.522878745280337,275.26800000000003,0.7867999999999994,3.0,5.0
CHEMBL461842,O=C(O)CCc1nc2cc(C(=O)O)ccc2[nH]1,80000.0,CHEMBL5619,PIM1 kinase,inactive,80000.0,4.096910013008056,234.211,1.2783,3.0,3.0
CHEMBL462049,O=C(O)c1cccc(S(=O)(=O)N2CCCC(c3nc(O)c4nnn(Cc5ccc(F)cc5)c4n3)C2)c1,33000.0,CHEMBL5619,PIM1 kinase,inactive,33000.0,4.481486060122113,512.5230000000003,2.3808000000000007,2.0,9.0
CHEMBL460570,O=C(O)c1cccc(S(=O)(=O)N2CCCC(c3nc(O)c4nnn(Cc5ccccc5Cl)c4n3)C2)c1,87000.0,CHEMBL5619,PIM1 kinase,inactive,87000.0,4.060480747381382,528.9780000000001,2.895100000000001,2.0,9.0
CHEMBL460571,CN(C)c1ccc(-c2noc(C3CCN(S(=O)(=O)c4cccc(C(=O)O)c4)CC3)n2)cc1,40000.0,CHEMBL5619,PIM1 kinase,inactive,40000.0,4.3979400086720375,456.52400000000017,3.0691000000000006,1.0,7.0
CHEMBL512214,CCc1nnc(NS(=O)(=O)c2ccc(NC(=O)CCC(=O)O)cc2)s1,80000.0,CHEMBL5619,PIM1 kinase,inactive,80000.0,4.096910013008056,384.43900000000014,1.7046000000000001,3.0,7.0
CHEMBL461841,C/C(CCc1ccc2c(c1)OCO2)=N\N=C1/NC(=O)CC(C(=O)O)S1,50000.0,CHEMBL5619,PIM1 kinase,inactive,50000.0,4.301029995663981,363.3950000000001,1.7861,2.0,7.0
CHEMBL450862,O=C(O)c1cccc(S(=O)(=O)N2CCS(=O)(=O)CC2)c1,80000.0,CHEMBL5619,PIM1 kinase,inactive,80000.0,4.096910013008056,319.36000000000007,-0.19609999999999972,1.0,5.0
CHEMBL468073,O=C(O)CCS(=O)(=O)c1cccc2c(S(=O)(=O)CCC(=O)O)cccc12,35000.0,CHEMBL5619,PIM1 kinase,inactive,35000.0,4.455931955649724,400.43000000000023,1.3365999999999998,2.0,6.0
CHEMBL467237,O=C(O)c1ccccc1C(=O)NCc1ccc(CNC(=O)c2ccccc2C(=O)O)cc1,30000.0,CHEMBL5619,PIM1 kinase,inactive,30000.0,4.522878745280337,432.43200000000013,2.9430000000000005,4.0,4.0
CHEMBL467238,Nc1ccc(-c2ccc(N)c(S(=O)(=O)O)c2)cc1S(=O)(=O)O,100000.0,CHEMBL5619,PIM1 kinase,inactive,100000.0,4.0,344.37000000000006,1.0114,4.0,6.0
CHEMBL467239,O=S(=O)(O)CCSc1nnc(SCCS(=O)(=O)O)s1,100000.0,CHEMBL5619,PIM1 kinase,inactive,100000.0,4.0,366.48900000000003,0.4979000000000004,2.0,9.0
CHEMBL453929,O=S(=O)(O)c1cc(O)c2c(S(=O)(=O)O)cc(S(=O)(=O)O)cc2c1,100000.0,CHEMBL5619,PIM1 kinase,inactive,100000.0,4.0,384.36500000000007,0.2855000000000002,4.0,7.0
CHEMBL500986,CCOC(=O)C(CCc1nn[nH]n1)(CCc1nn[nH]n1)C(=O)OCC,100000.0,CHEMBL5619,PIM1 kinase,inactive,100000.0,4.0,352.35500000000013,-0.6091999999999989,2.0,10.0
