molecule_chembl_id,canonical_smiles,standard_value,target_id,target_name,bioactivity_class,standard_value_norm,pIC50,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL75680,CCCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12,10000.0,CHEMBL2147,EGFR kinase,inactive,10000.0,5.0,267.33200000000005,3.6731000000000016,2.0,3.0
CHEMBL7463,CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21,27.0,CHEMBL2147,EGFR kinase,inactive,27.0,7.568636235841013,412.49300000000017,3.6415000000000015,2.0,4.0
CHEMBL50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,43.0,CHEMBL2147,EGFR kinase,inactive,43.0,7.366531544420414,302.23800000000006,1.988,5.0,7.0
CHEMBL391586,N#Cc1c(-c2ccccc2)cc(-c2cc(Br)ccc2O)[nH]c1=O,50.0,CHEMBL2147,EGFR kinase,inactive,50.0,7.301029995663981,367.20200000000006,4.048680000000003,2.0,3.0
CHEMBL247077,N#Cc1c(-c2ccncc2)c2c([nH]c1=O)-c1ccccc1CC2,20000.0,CHEMBL2147,EGFR kinase,inactive,20000.0,4.698970004336019,299.3330000000001,3.074180000000001,1.0,3.0
CHEMBL391154,N#Cc1c(-c2ccc(F)cc2)c2c([nH]c1=O)-c1ccccc1SC2,20000.0,CHEMBL2147,EGFR kinase,inactive,20000.0,4.698970004336019,334.37500000000006,4.325380000000001,1.0,3.0
CHEMBL247682,N#Cc1c(-c2cccnc2)c2c([nH]c1=O)-c1ccccc1SC2,4790.0,CHEMBL2147,EGFR kinase,active,4790.0,5.319664486585437,317.37300000000005,3.5812800000000014,1.0,4.0
CHEMBL246656,N#Cc1c(-c2ccc(Cl)cc2)c2c([nH]c1=O)-c1ccccc1OC2,920.0,CHEMBL2147,EGFR kinase,active,920.0,6.036212172654444,334.76200000000006,4.126380000000002,1.0,3.0
CHEMBL397641,Nc1n[nH]c2nc(-c3cc(Br)ccc3O)cc(-c3ccccc3)c12,1770.0,CHEMBL2147,EGFR kinase,active,1770.0,5.752026733638194,381.23300000000006,4.342200000000001,3.0,4.0
CHEMBL246655,N#Cc1c(-c2ccccc2)cc(-c2ccc(O)cc2)nc1N,4410.0,CHEMBL2147,EGFR kinase,active,4410.0,5.355561410532162,287.322,3.5750800000000016,2.0,4.0
CHEMBL246663,COc1ccc(-c2cc(C(F)(F)F)c(C#N)c(=O)[nH]2)cc1Br,1140.0,CHEMBL2147,EGFR kinase,inactive,1140.0,5.943095148663527,373.12799999999993,3.7034800000000017,1.0,3.0
CHEMBL246661,CCc1ccc(O)c(-c2cc(-c3cccc(Cl)c3)c(C#N)c(=O)[nH]2)c1,1030.0,CHEMBL2147,EGFR kinase,active,1030.0,5.987162775294828,350.80500000000006,4.501980000000002,2.0,3.0
CHEMBL393238,N#Cc1c(-c2ccc(O)cc2)cc(-c2ccccc2O)[nH]c1=O,430.0,CHEMBL2147,EGFR kinase,inactive,430.0,6.366531544420414,304.305,2.9917800000000008,3.0,4.0
CHEMBL246458,Cc1ccc(O)c(-c2cc(-c3ccccc3)[nH]c(=O)c2C#N)c1,370.0,CHEMBL2147,EGFR kinase,inactive,370.0,6.431798275933005,302.3330000000001,3.5946000000000025,2.0,3.0
CHEMBL246457,Cc1ccc(O)c(-c2cc(-c3ccccc3)c(C#N)c(=O)[nH]2)c1,340.0,CHEMBL2147,EGFR kinase,active,340.0,6.468521082957745,302.333,3.5946000000000025,2.0,3.0
CHEMBL413552,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)c(O)c(O)c12,340.0,CHEMBL2147,EGFR kinase,active,340.0,6.468521082957745,318.2370000000001,1.6936000000000004,6.0,8.0
CHEMBL399910,O=C1C[C@@H](c2ccccc2)Oc2cc(O)cc(O)c21,107000.0,CHEMBL2147,EGFR kinase,active,107000.0,3.9706162223147903,256.257,2.804300000000002,2.0,4.0
CHEMBL272888,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1,30000.0,CHEMBL2147,EGFR kinase,active,30000.0,4.522878745280337,589.6220000000001,5.803820000000005,3.0,7.0
CHEMBL91829,CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1,200.0,CHEMBL2147,EGFR kinase,active,200.0,6.698970004336019,468.55700000000024,3.513700000000002,1.0,6.0
CHEMBL402228,COc1ccccc1N1CCN(CCCNC(=O)c2nc(-c3cccnc3)no2)CC1,8000.0,CHEMBL2147,EGFR kinase,active,8000.0,5.096910013008056,422.48900000000015,2.0823,1.0,8.0
CHEMBL409038,Nc1nccc(-c2ccc3noc(-c4ccc(Cl)cc4)c3c2)n1,91.0,CHEMBL2147,EGFR kinase,inactive,91.0,7.040958607678906,322.755,4.187400000000002,1.0,5.0
CHEMBL447571,Cc1ccc(/C=C2\SC(O)=NC2=O)cc1,60.0,CHEMBL2147,EGFR kinase,active,60.0,7.221848749616356,219.26500000000001,2.52332,1.0,2.0
CHEMBL498406,Cc1cccc(/C=C2\SC(=O)NC2=O)c1,160.0,CHEMBL2147,EGFR kinase,active,160.0,6.795880017344075,219.265,2.3189200000000003,1.0,3.0
CHEMBL447567,O=C1NC(=O)/C(=C/c2ccc(C(F)(F)F)cc2)S1,330.0,CHEMBL2147,EGFR kinase,active,330.0,6.481486060122113,273.23499999999996,3.029300000000001,1.0,3.0
CHEMBL183906,O=C1NC(=O)/C(=C/c2cccc(C(F)(F)F)c2)S1,24.0,CHEMBL2147,EGFR kinase,active,24.0,7.619788758288394,273.23499999999996,3.029300000000001,1.0,3.0
