molecule_chembl_id,canonical_smiles,standard_value,target_id,target_name,bioactivity_class,standard_value_norm,pIC50,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL332551,Nc1nc(C2=C3C(=Nc4ccccc43)C(=O)NCC2)c(O)[nH]1,10000.0,CHEMBL3629,mTOR,inactive,10000.0,5.0,295.30199999999996,1.2143,4.0,5.0
CHEMBL361708,NC1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1,7000.0,CHEMBL3629,mTOR,inactive,7000.0,5.154901959985743,324.138,0.06629999999999997,4.0,4.0
CHEMBL410659,Nc1nccn2c1c(-c1ccc3ccc(-c4ccccc4)nc3c1)nc2[C@H]1C[C@@H](CN2CCC2)C1,10000.0,CHEMBL3629,mTOR,inactive,10000.0,5.0,460.5850000000004,5.393000000000005,1.0,6.0
CHEMBL75680,CCCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12,100000.0,CHEMBL3629,mTOR,inactive,100000.0,4.0,267.33200000000005,3.6731000000000016,2.0,3.0
CHEMBL75680,CCCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12,100000.0,CHEMBL3629,mTOR,active,100000.0,4.0,267.33200000000005,3.6731000000000016,2.0,3.0
CHEMBL296586,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1,20000.0,CHEMBL3629,mTOR,active,20000.0,4.698970004336019,327.181,4.092000000000002,2.0,1.0
CHEMBL259084,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,20500.0,CHEMBL3629,mTOR,active,20500.0,4.688246138944246,476.8700000000002,5.868000000000003,2.0,5.0
CHEMBL489344,CNc1nccc(-c2nc(C3CCNCC3)[nH]c2-c2cccc(C(F)(F)F)c2)n1,100000.0,CHEMBL3629,mTOR,active,100000.0,4.0,402.424,4.061200000000002,3.0,5.0
CHEMBL523938,CC1CCC(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)CC1,100000.0,CHEMBL3629,mTOR,active,100000.0,4.0,335.4260000000001,5.571500000000005,1.0,2.0
CHEMBL493937,CN1CCCN(c2cncc(-c3cccc(/C=C/C(=O)O)c3)n2)CC1,663.0,CHEMBL3629,mTOR,active,663.0,6.178486471595227,338.4110000000001,2.3833,1.0,5.0
CHEMBL519982,Cc1cc(O)cc2oc(=O)c3c(O)cc(O)cc3c12,2.0,CHEMBL3629,mTOR,active,2.0,8.698970004336019,258.229,2.3714199999999996,3.0,5.0
CHEMBL521470,O=C1C[C@H](O)[C@@H]2c3c(ccc(O)c31)-c1ccc(O)c3c1[C@@]2(O)CCC3=O,10.0,CHEMBL3629,mTOR,active,10.0,8.0,352.34200000000016,1.9733999999999994,4.0,6.0
CHEMBL519395,COc1cc(O)c(C(=O)O)c(C2=C(C)C[C@@H](O)C2=O)c1,10.0,CHEMBL3629,mTOR,active,10.0,8.0,278.26,1.2062,3.0,5.0
CHEMBL408995,COc1cc(O)c2c(c1)C1(OC2=O)C(C)=CC(=O)C1O,10.0,CHEMBL3629,mTOR,active,10.0,8.0,276.24399999999997,0.6563999999999999,2.0,6.0
CHEMBL507058,COc1cc(O)c2c(c1)-c1cc(O)c(O)cc1COC2=O,10.0,CHEMBL3629,mTOR,active,10.0,8.0,288.25500000000005,2.149399999999999,3.0,6.0
CHEMBL483532,Cc1cc(O)c(O)cc1-c1cc(O)cc(O)c1C(=O)O,10.0,CHEMBL3629,mTOR,inactive,10.0,8.0,276.24399999999997,2.1826200000000013,5.0,5.0
CHEMBL483531,COc1cc(O)c(C(=O)O)c(-c2cc(O)c(O)cc2C)c1,10.0,CHEMBL3629,mTOR,active,10.0,8.0,290.271,2.48562,4.0,5.0
CHEMBL483526,COc1cc(O)c2c(=O)oc3cc(O)cc(C)c3c2c1,10.0,CHEMBL3629,mTOR,active,10.0,8.0,272.256,2.6744200000000005,2.0,5.0
CHEMBL483525,Cc1cc(O)cc2oc(=O)c3c(O)cc(OS(=O)(=O)O)cc3c12,2.0,CHEMBL3629,mTOR,active,2.0,8.698970004336019,338.29300000000006,1.8474200000000003,3.0,7.0
CHEMBL177820,Brc1c(Br)c(Br)c2[nH]nnc2c1Br,500.0,CHEMBL3629,mTOR,inactive,500.0,6.301029995663981,434.71100000000007,4.0079,1.0,2.0
CHEMBL459343,O=P(O)(O)OCCCn1nc2c(Br)c(Br)c(Br)c(Br)c2n1,2200.0,CHEMBL3629,mTOR,active,2200.0,5.657577319177793,572.7699999999999,3.9807000000000015,2.0,5.0
CHEMBL512747,CN1CCN(CCCn2nc3c(Br)c(Br)c(Br)c(Br)c3n2)CC1,7300.0,CHEMBL3629,mTOR,active,7300.0,5.136677139879544,574.9409999999998,4.118800000000003,0.0,5.0
CHEMBL459577,OCCCCn1nc2c(Br)c(Br)c(Br)c(Br)c2n1,1730.0,CHEMBL3629,mTOR,inactive,1730.0,5.761953896871205,506.8180000000001,4.253800000000002,1.0,4.0
CHEMBL373937,Brc1c(Br)c(Br)c2[nH]cnc2c1Br,1300.0,CHEMBL3629,mTOR,active,1300.0,5.886056647693163,433.72300000000007,4.612900000000001,1.0,1.0
CHEMBL453937,OCCCn1cnc2c(Br)c(Br)c(Br)c(Br)c21,540.0,CHEMBL3629,mTOR,active,540.0,6.267606240177032,491.80300000000005,4.468700000000002,1.0,3.0
CHEMBL502728,ClCCCn1cnc2c(Br)c(Br)c(Br)c(Br)c21,2900.0,CHEMBL3629,mTOR,active,2900.0,5.537602002101044,510.2490000000001,5.715200000000001,0.0,2.0
CHEMBL375530,OC[C@H]1O[C@@H](n2cnc3cc(Cl)c(Cl)cc32)[C@H](O)[C@@H]1O,13000.0,CHEMBL3629,mTOR,active,13000.0,4.886056647693163,319.14400000000006,0.9545999999999997,3.0,6.0
CHEMBL92361,O=C(O)Cc1c2ccccc2n2c1[nH]c(=O)c1ccccc12,390.0,CHEMBL3629,mTOR,active,390.0,6.4089353929735005,292.29400000000004,2.5611000000000006,2.0,3.0
CHEMBL177820,Brc1c(Br)c(Br)c2[nH]nnc2c1Br,900.0,CHEMBL3629,mTOR,active,900.0,6.045757490560675,434.71100000000007,4.0079,1.0,2.0
CHEMBL28,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,800.0,CHEMBL3629,mTOR,active,800.0,6.096910013008056,270.24,2.576800000000001,3.0,5.0
CHEMBL289277,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,2000.0,CHEMBL3629,mTOR,active,2000.0,5.698970004336019,270.24,1.8872199999999997,3.0,5.0
CHEMBL554993,COc1cc2c(c(O)c1-c1c(OC)cc(O)c3c1C(=O)C1=C(C3=O)[C@H](O)[C@@H](O)[C@@](C)(O)[C@@H]1O)C(=O)c1cc(O)c(C)cc1C2=O,10.0,CHEMBL3629,mTOR,active,10.0,8.0,618.5470000000001,1.0943199999999997,7.0,13.0
CHEMBL92361,O=C(O)Cc1c2ccccc2n2c1[nH]c(=O)c1ccccc12,390.0,CHEMBL3629,mTOR,active,390.0,6.4089353929735005,292.29400000000004,2.5611000000000006,2.0,3.0
CHEMBL584384,NCCNc1cc(-c2ccnc(Nc3cccc(Cl)c3)n2)ccn1,9600.0,CHEMBL3629,mTOR,inactive,9600.0,5.017728766960431,340.81800000000004,3.3062000000000005,3.0,6.0
CHEMBL574285,Clc1cccc(Nc2nccc(-c3ccnc(NCCc4c[nH]cn4)c3)n2)c1,3200.0,CHEMBL3629,mTOR,active,3200.0,5.494850021680094,391.8660000000001,4.313300000000002,3.0,6.0
CHEMBL177820,Brc1c(Br)c(Br)c2[nH]nnc2c1Br,500.0,CHEMBL3629,mTOR,active,500.0,6.301029995663981,434.71100000000007,4.0079,1.0,2.0
CHEMBL289277,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,890.0,CHEMBL3629,mTOR,inactive,890.0,6.050609993355087,270.24,1.8872199999999997,3.0,5.0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,3617.0,CHEMBL3629,mTOR,inactive,3617.0,5.44165149123838,466.5410000000003,4.354000000000003,2.0,6.0
CHEMBL1288582,COc1ccc2cc(-c3n[nH]c4cccnc34)[nH]c2c1,30000.0,CHEMBL3629,mTOR,active,30000.0,4.522878745280337,264.288,3.1148,2.0,3.0
CHEMBL1230165,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,1.0,CHEMBL3629,mTOR,active,1.0,9.0,349.7770000000001,4.878200000000002,2.0,4.0
CHEMBL1230165,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,1.0,CHEMBL3629,mTOR,active,1.0,9.0,349.7770000000001,4.878200000000002,2.0,4.0
CHEMBL1929238,CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O,30000.0,CHEMBL3629,mTOR,active,30000.0,4.522878745280337,554.5440000000001,5.232500000000004,2.0,5.0
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,30000.0,CHEMBL3629,mTOR,active,30000.0,4.522878745280337,527.6690000000006,5.986420000000005,2.0,6.0
