molecule_chembl_id,canonical_smiles,standard_value,target_id,target_name,bioactivity_class,standard_value_norm,pIC50,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL296468,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,40000.0,CHEMBL2695,PI3K alpha,active,40000.0,4.3979400086720375,380.53900000000016,3.6590000000000016,2.0,7.0
CHEMBL412367,CCc1c(NC(=O)OCCn2ccnc2)cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c12,25000.0,CHEMBL2695,PI3K alpha,inactive,25000.0,4.6020599913279625,521.5850000000003,4.878500000000004,2.0,10.0
CHEMBL401930,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,150.0,CHEMBL2695,PI3K alpha,active,150.0,6.823908740944319,479.96800000000013,3.8621200000000018,4.0,6.0
CHEMBL120077,COc1cc2c(cc1OC)-c1n[nH]c(Nc3cccc(F)c3)c1C2,100000.0,CHEMBL2695,PI3K alpha,active,100000.0,4.0,325.3430000000001,3.8808000000000016,2.0,4.0
CHEMBL201307,COc1cc2c(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)ncnc2cc1OCCCN1CCC(CO)CC1,4000.0,CHEMBL2695,PI3K alpha,inactive,4000.0,5.3979400086720375,580.6860000000003,4.632000000000005,3.0,10.0
CHEMBL382608,COc1cc(Nc2ncc(Br)c(Nc3ccccn3)n2)cc(OC)c1OC,100.0,CHEMBL2695,PI3K alpha,active,100.0,7.0,432.2780000000002,4.147100000000002,2.0,8.0
CHEMBL381282,COc1cc(Nc2ncc3ccc(=O)n(-c4ccccn4)c3n2)cc(OC)c1OC,10000.0,CHEMBL2695,PI3K alpha,inactive,10000.0,5.0,405.4140000000002,2.945100000000001,1.0,9.0
CHEMBL426311,COc1cc(Nc2ncc3c(n2)N(c2ccccn2)CCC3)cc(OC)c1OC,200.0,CHEMBL2695,PI3K alpha,active,200.0,6.698970004336019,393.4470000000003,3.7253000000000025,1.0,8.0
CHEMBL383300,COc1cc(Nc2ncc3c(n2)N(c2ccccn2)C(O)CC3)cc(OC)c1OC,200.0,CHEMBL2695,PI3K alpha,inactive,200.0,6.698970004336019,409.44600000000025,3.043700000000001,2.0,9.0
CHEMBL207736,COc1cc(Nc2ncc3c(n2)N(c2ccccn2)C(=O)CC3)cc(OC)c1OC,10000.0,CHEMBL2695,PI3K alpha,inactive,10000.0,5.0,407.4300000000003,3.251900000000002,1.0,8.0
CHEMBL383241,COc1cc(Nc2ncc3c(n2)N(c2ccccn2)CC3)cc(OC)c1OC,100.0,CHEMBL2695,PI3K alpha,active,100.0,7.0,379.42000000000024,3.335200000000002,1.0,8.0
