molecule_chembl_id,canonical_smiles,standard_value,target_name,target_chembl_id,bioactivity_class,standard_value_norm,pIC50,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL512261,Cc1ccc(-c2ccc(CCC(=O)O)n2CC(=O)O)cc1,12000.0,PIM1 kinase,CHEMBL5619,inactive,12000.0,4.920818753952375,287.31499999999994,2.56532,2,3
CHEMBL466401,O=C(O)CCc1ccc(-c2ccc(F)cc2)n1CC(=O)O,9000.0,PIM1 kinase,CHEMBL5619,intermediate,9000.0,5.045757490560675,291.278,2.396,2,3
CHEMBL460348,O=C(O)c1ccc(S(=O)(=O)c2ccc(Sc3ccc(C(=O)O)c(C(=O)O)c3)cc2)cc1,6000.0,PIM1 kinase,CHEMBL5619,intermediate,6000.0,5.221848749616356,458.46900000000016,3.765200000000002,3,6
CHEMBL460347,O=C(O)c1ccc(Oc2ccc(S(=O)(=O)c3ccc(C(=O)O)c(C(=O)O)c3)cc2)cc1,10000.0,PIM1 kinase,CHEMBL5619,inactive,10000.0,5.0,442.4010000000002,3.4063000000000008,3,6
CHEMBL517107,O=C(O)CN1C(=O)/C(=C2/C(=O)N(CC(=O)O)c3ccccc32)SC1=S,13000.0,PIM1 kinase,CHEMBL5619,inactive,13000.0,4.886056647693163,378.38700000000006,0.7738,2,6
CHEMBL409315,O=C(O)CN1C(=O)/C(=C2\SC(=S)N(C(Cc3ccccc3)C(=O)O)C2=O)c2ccccc21,3000.0,PIM1 kinase,CHEMBL5619,intermediate,3000.0,5.522878745280337,468.51200000000017,2.3851000000000004,2,6
CHEMBL517857,O=C(O)CN1C(=O)/C(=C2\SC(=S)N(NC(=O)c3ccccc3O)C2=O)c2ccccc21,11000.0,PIM1 kinase,CHEMBL5619,inactive,11000.0,4.958607314841775,455.4730000000002,1.7397999999999996,3,7
CHEMBL459501,O=C(O)CN1C(=O)/C(=C2\SC(=S)N(c3ccc(Br)cc3)C2=O)c2ccccc21,6000.0,PIM1 kinase,CHEMBL5619,intermediate,6000.0,5.221848749616356,475.34500000000014,3.6563000000000017,1,5
CHEMBL462260,O=C(O)CN1C(=O)/C(=C2\SC(=S)NC2=O)c2ccccc21,9000.0,PIM1 kinase,CHEMBL5619,intermediate,9000.0,5.045757490560675,320.35100000000006,0.9767999999999997,2,5
CHEMBL461840,Cc1oc(CSCCSCc2cc(C(=O)O)c(C)o2)cc1C(=O)O,5000.0,PIM1 kinase,CHEMBL5619,intermediate,5000.0,5.301029995663981,370.44800000000015,4.0524400000000025,2,6
CHEMBL512049,Cc1cc(CSCc2cc(C(=O)O)c(C)o2)oc1C(=O)O,6000.0,PIM1 kinase,CHEMBL5619,intermediate,6000.0,5.221848749616356,310.32700000000006,3.3192400000000015,2,5
CHEMBL447111,Cc1ccc(OCc2ccoc2C(=O)O)cc1C,11000.0,PIM1 kinase,CHEMBL5619,inactive,11000.0,4.958607314841775,246.262,3.1736400000000016,1,3
CHEMBL448841,O=C(O)c1oc2ccccc2c1CSc1ccccn1,27000.0,PIM1 kinase,CHEMBL5619,inactive,27000.0,4.568636235841013,285.32399999999996,3.8183000000000025,1,4
CHEMBL505863,Cc1oc(CSCC2CCCO2)cc1C(=O)O,16000.0,PIM1 kinase,CHEMBL5619,inactive,16000.0,4.795880017344075,256.3229999999999,2.6984200000000005,1,4
CHEMBL500760,O=C(O)CCNc1ccc(Br)cc1C(=O)O,32000.0,PIM1 kinase,CHEMBL5619,inactive,32000.0,4.494850021680094,288.097,2.0339,3,3
