molecule_chembl_id,canonical_smiles,standard_value,target_name,target_chembl_id,bioactivity_class,standard_value_norm,pIC50
CHEMBL467863,Cc1nc(N(CCC(=O)O)CCC(=O)O)sc1C(C)(C)C,60000.0,PIM1 kinase,CHEMBL5619,inactive,60000.0,4.221848749616356
CHEMBL468072,O=C(O)CNS(=O)(=O)c1ccc2c(c1)C(=O)c1cc(S(=O)(=O)NCC(=O)O)ccc1-2,50000.0,PIM1 kinase,CHEMBL5619,inactive,50000.0,4.301029995663981
CHEMBL503504,Cc1oc(C(=O)O)cc1CSCc1cc(C(=O)O)oc1C,40000.0,PIM1 kinase,CHEMBL5619,inactive,40000.0,4.3979400086720375
CHEMBL446487,O=C(O)CCC(=O)NC(Cc1ccccc1)C(=O)O,40000.0,PIM1 kinase,CHEMBL5619,inactive,40000.0,4.3979400086720375
CHEMBL462689,COc1ccc(S(=O)(=O)N2CCC(C(=O)O)CC2)cc1C(=O)O,30000.0,PIM1 kinase,CHEMBL5619,inactive,30000.0,4.522878745280337
CHEMBL442876,O=C(O)CCn1c(=O)oc2cc(S(=O)(=O)O)ccc21,80000.0,PIM1 kinase,CHEMBL5619,inactive,80000.0,4.096910013008056
CHEMBL461633,O=C(O)CC(CC(=O)Nc1nnn[nH]1)c1ccccc1,30000.0,PIM1 kinase,CHEMBL5619,inactive,30000.0,4.522878745280337
CHEMBL461842,O=C(O)CCc1nc2cc(C(=O)O)ccc2[nH]1,80000.0,PIM1 kinase,CHEMBL5619,inactive,80000.0,4.096910013008056
CHEMBL462049,O=C(O)c1cccc(S(=O)(=O)N2CCCC(c3nc(O)c4nnn(Cc5ccc(F)cc5)c4n3)C2)c1,33000.0,PIM1 kinase,CHEMBL5619,inactive,33000.0,4.481486060122113
CHEMBL460570,O=C(O)c1cccc(S(=O)(=O)N2CCCC(c3nc(O)c4nnn(Cc5ccccc5Cl)c4n3)C2)c1,87000.0,PIM1 kinase,CHEMBL5619,inactive,87000.0,4.060480747381382
CHEMBL460571,CN(C)c1ccc(-c2noc(C3CCN(S(=O)(=O)c4cccc(C(=O)O)c4)CC3)n2)cc1,40000.0,PIM1 kinase,CHEMBL5619,inactive,40000.0,4.3979400086720375
CHEMBL512214,CCc1nnc(NS(=O)(=O)c2ccc(NC(=O)CCC(=O)O)cc2)s1,80000.0,PIM1 kinase,CHEMBL5619,inactive,80000.0,4.096910013008056
CHEMBL461841,C/C(CCc1ccc2c(c1)OCO2)=N\N=C1/NC(=O)CC(C(=O)O)S1,50000.0,PIM1 kinase,CHEMBL5619,inactive,50000.0,4.301029995663981
CHEMBL450862,O=C(O)c1cccc(S(=O)(=O)N2CCS(=O)(=O)CC2)c1,80000.0,PIM1 kinase,CHEMBL5619,inactive,80000.0,4.096910013008056
CHEMBL468073,O=C(O)CCS(=O)(=O)c1cccc2c(S(=O)(=O)CCC(=O)O)cccc12,35000.0,PIM1 kinase,CHEMBL5619,inactive,35000.0,4.455931955649724
CHEMBL467237,O=C(O)c1ccccc1C(=O)NCc1ccc(CNC(=O)c2ccccc2C(=O)O)cc1,30000.0,PIM1 kinase,CHEMBL5619,inactive,30000.0,4.522878745280337
CHEMBL467238,Nc1ccc(-c2ccc(N)c(S(=O)(=O)O)c2)cc1S(=O)(=O)O,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL467239,O=S(=O)(O)CCSc1nnc(SCCS(=O)(=O)O)s1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL453929,O=S(=O)(O)c1cc(O)c2c(S(=O)(=O)O)cc(S(=O)(=O)O)cc2c1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL500986,CCOC(=O)C(CCc1nn[nH]n1)(CCc1nn[nH]n1)C(=O)OCC,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL541931,O=S(=O)(O)CCCSc1sc2ccccc2[n+]1CCCS(=O)(=O)O.[Cl-],100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL469118,O=P(O)(O)c1ccccc1OCCOc1ccccc1P(=O)(O)O,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL466002,O=S(=O)(O)c1ccccc1Nc1ccnc(Nc2ccccc2S(=O)(=O)O)n1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL511372,Cc1cc(C(=O)O)c(CSCc2cc(C(=O)O)c(C)o2)o1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL466003,O=C(O)CCC1(CCC(=O)O)CCCCC1=O,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL461634,COc1cc(-c2nn[nH]n2)ccc1OCC(=O)O,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL508178,O=S(=O)(c1cc(S(=O)(=O)N2CCOCC2)c2n[n+]3c4cc(S(=O)(=O)N5CCOCC5)cc(S(=O)(=O)N5CCOCC5)c4[n-]n3c2c1)N1CCOCC1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL461635,CCOC(=O)c1cnc(SC(C)C(=O)O)nc1N,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL461839,CCS(=O)(=O)N1CCN(S(=O)(=O)c2ccc(C(=O)O)cc2)CC1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL512048,Cc1nc(NC(=O)c2ccco2)sc1C(=O)O,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL511180,CN(c1ccc(C(=O)O)cc1)S(=O)(=O)c1cccs1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL460572,O=C(CCc1nc(-c2ccc(Cl)cc2)no1)Nc1nnn[nH]1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL459300,O=C(CN1C(=O)c2ccccc2S1(=O)=O)Nc1ccc(Cl)c(C(=O)O)c1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL448408,CCNC(=O)c1cc(S(=O)(=O)NCc2ccc(C(=O)O)cc2)c(C)s1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL459301,CCNC(=O)c1cc(S(=O)(=O)NCCC(=O)O)c(C)s1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL502103,CS(=O)(=O)Nc1nc(CC(=O)O)cs1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL459302,O=C(O)c1cccc(NS(=O)(=O)c2cccc3nsnc23)c1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL462051,COc1ccc(NS(=O)(=O)c2ccc(NC(=O)c3ccccc3C(=O)O)cc2)nn1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL466004,COc1ccc(/C=C/C(=O)O)cc1S(=O)(=O)NCc1cccnc1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL447958,O=C(O)CCCNc1n[nH]c(=O)[nH]c1=O,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL460593,O=C(O)CNC(=O)c1cc(=O)[nH]c(=O)[nH]1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL460801,O=C(O)c1ccc(NS(=O)(=O)c2cccs2)cc1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL516484,O=C(O)c1cccc(Nc2nc3ccccc3nc2NS(=O)(=O)c2cccc([N+](=O)[O-])c2)c1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL460802,O=S(=O)(O)CC(O)CSc1nc2ccccc2s1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL475281,O=C(O)CSC1CCS(=O)(=O)C1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL466206,O=C(O)CSc1ccc(C(=O)O)cc1[N+](=O)[O-],100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL447590,O=C(O)CNC1CS(=O)(=O)CC1O,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL461009,C=CCN1C(=S)S/C(=C/C=C2\Sc3ccccc3N2CCCS(=O)(=O)O)C1=S,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL505114,O=C(O)CC1S/C(=N/N=C/c2ccco2)NC1=O,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL460803,CC1(C)C(C(=O)O)N2C(=O)C(NC(=O)C(C(=O)O)c3ccccc3)C2[S+]1[O-],100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL460804,NC(=O)CSc1nc2ccc(NC(=O)c3ccccc3C(=O)O)cc2s1,27000.0,PIM1 kinase,CHEMBL5619,inactive,27000.0,4.568636235841013
CHEMBL460353,Cc1ccccc1NC(=O)c1cccc(NC(=O)CCC(=O)O)c1,35000.0,PIM1 kinase,CHEMBL5619,inactive,35000.0,4.455931955649724
CHEMBL460354,O=[N+]([O-])c1ccccc1-c1nnc(CSc2nnc(-c3ccccc3O)o2)o1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL462696,O=[N+]([O-])c1ccccc1-c1nnc(CSc2nc(-c3ccccc3O)n[nH]2)o1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL518673,N#C/C(=C\c1ccc(-c2ccccc2[N+](=O)[O-])o1)S(=O)(=O)c1ccccc1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL461208,CCc1cc2c(=O)c(-c3nc4ccccc4s3)c(C)oc2cc1OS(C)(=O)=O,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL518188,O=C(Nc1ccccc1O)c1cc(S(=O)(=O)N2CCCCCC2)ccc1Cl,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL461209,O=C(Nc1ccccc1O)c1cccc(S(=O)(=O)N2CCCC2)c1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL461424,O=S(=O)(NCc1ccccc1)c1ccc(S(=O)(=O)N(Cc2ccc(Cl)cc2)Cc2ccco2)cc1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL518634,COc1ccccc1C(=O)NCC(C)(C)CNC1=NS(=O)(=O)c2ccccc21,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL461010,O=S(=O)(Nc1ccc(NS(=O)(=O)c2cccs2)cc1)c1cccs1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL459744,Cc1ccc(S(=O)(=O)CCc2nnc(NC(=O)CC3CC4CCC3C4)s2)cc1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL459529,CCN(CC)S(=O)(=O)c1ccc(OC)c(NC(=O)C2CCCO2)c1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL459743,CC(C)(C)NS(=O)(=O)c1ccc2oc3ccc(S(=O)(=O)NC(C)(C)C)cc3c2c1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL516778,Cc1ccc(-c2nnc3c4ccccc4c(C)nn23)cc1S(=O)(=O)N1CCOCC1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL452994,COC(=O)COc1ccc(S(=O)(=O)N2CCCCC2)cc1C,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL467217,COC(=O)C1C(=O)C2=C(CC1C)NC(C)=C(C(=O)OC1CCCC1)C2c1ccccc1C,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL511913,O=C(Cn1cc(C(=O)c2ccco2)c2ccccc21)NCc1cccnc1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL467423,COC(=O)C1C(=O)c2c([nH]c(C(=O)OC3CCCCC3)c2C)CC1C,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL448847,COC(=O)C1C(=O)c2c([nH]c(C(=O)OCC3CCCO3)c2C)CC1C,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL448142,Cc1cc(S(=O)(=O)N2CCOCC2)ccc1OCC(=O)N1CCCC1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
CHEMBL460993,C=CCn1c(Cc2ccccc2)nnc1SCC(=O)Nc1nnc(C)s1,100000.0,PIM1 kinase,CHEMBL5619,inactive,100000.0,4.0
